country,sight,image_url,info
체코,프라하 동물원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/60/a5/b9/fb-img-1470170164771.jpg?w=700&h=-1&s=1,동물원
체코,Cathedral of St. Peter and St. Paul,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/24/7b/86/caption.jpg?w=800&h=700&s=1,신성한 & 종교적인 장소
체코,구시가,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3b/6f/9e/caption.jpg?w=800&h=700&s=1,즐길거리 & 랜드마크
체코,Villa Tugendhat,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/30/8c/72/photo0jpg.jpg?w=800&h=700&s=1,전문 박물관
체코,Diana Lookout Tower,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/3c/9c/d6/amazing-view.jpg?w=800&h=700&s=1,즐길거리 & 랜드마크
체코,Spilberk Castle,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e6/68/83/20151231-105717-largejpg.jpg?w=800&h=700&s=1,역사적인 장소
체코,카를 다리 (카를루프 모스트),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/b3/a9/23/charles-bridge.jpg?w=800&h=700&s=1,브리지
체코, 성 비투스 대성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d5/88/c7/img-20181222-161733-largejpg.jpg?w=800&h=700&s=1,건축물
체코,Dolní Vítkovice,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/7f/af/bf/nocni-vyhled.jpg?w=800&h=700&s=1,역사적인 장소
체코, 체스키 크룸로프 성,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/34/ad/55/caption.jpg?w=800&h=700&s=1,역사적인 장소
